HUC12,zone_id,impervious_pixel_count_hi,impervious_pixel_count_oahu,impervious_pixel_count_kauai,impervious_pixel_count_maui
2.007E+11,1,0,0,148327,0
2.007E+11,2,0,0,309218,0
2.007E+11,3,0,0,1952,0
2.006E+11,4,0,344211,0,0
2.006E+11,5,0,3415929,0,0
2.006E+11,6,0,578568,0,0
2.005E+11,7,0,0,0,120756
2.005E+11,8,0,0,0,115083
2.005E+11,9,0,0,0,0
2.005E+11,10,0,0,0,31161
2.008E+11,11,0,0,24414,0
2.007E+11,12,0,0,513316,0
2.007E+11,13,0,0,76426,0
2.007E+11,14,0,0,457907,0
2.007E+11,15,0,0,669646,0
2.006E+11,16,0,1104005,0,0
2.006E+11,17,0,963362,0,0
2.006E+11,18,0,342265,0,0
2.006E+11,19,0,2146794,0,0
2.005E+11,20,0,0,0,37
2.002E+11,21,0,0,0,953708
2.002E+11,22,0,0,0,55248
2.003E+11,23,0,0,0,518
2.002E+11,24,0,0,0,195740
2.002E+11,25,0,0,0,377825
2.002E+11,26,0,0,0,513013
2.001E+11,27,646979,0,0,0
2.002E+11,28,0,0,0,9452
2.001E+11,29,1093341,0,0,0
2.001E+11,30,40339,0,0,0
2.002E+11,31,0,0,0,76046
2.002E+11,32,0,0,0,70070
2.001E+11,33,140277,0,0,0
2.008E+11,34,0,0,14784,0
2.006E+11,35,0,1113756,0,0
2.006E+11,36,0,251179,0,0
2.006E+11,37,0,1165248,0,0
2.005E+11,38,0,0,0,17303
2.005E+11,39,0,0,0,185456
2.004E+11,40,0,0,0,122
2.003E+11,41,0,0,0,21274
2.002E+11,42,0,0,0,2249305
2.002E+11,43,0,0,0,749156
2.002E+11,44,0,0,0,11172
2.002E+11,45,0,0,0,12611
2.002E+11,46,0,0,0,21473
2.001E+11,47,90485,0,0,0
2.001E+11,48,98050,0,0,0
2.001E+11,49,767440,0,0,0
2.001E+11,50,22352,0,0,0
2.001E+11,51,136909,0,0,0
2.001E+11,52,218577,0,0,0
2.001E+11,53,0,0,0,0
2.001E+11,54,128635,0,0,0
2.001E+11,55,0,0,0,0
2.001E+11,56,362083,0,0,0
2.001E+11,57,118948,0,0,0
2.001E+11,58,5167,0,0,0
2.001E+11,59,149742,0,0,0
2.001E+11,60,17968,0,0,0
2.001E+11,61,40318,0,0,0
2.006E+11,62,0,182126,0,0
2.006E+11,63,0,882002,0,0
2.006E+11,64,0,330923,0,0
2.006E+11,65,0,3119018,0,0
2.006E+11,66,0,48986,0,0
2.006E+11,67,0,136875,0,0
2.006E+11,68,0,666351,0,0
2.004E+11,69,0,0,0,81123
2.004E+11,70,0,0,0,222235
2.005E+11,71,0,0,0,212357
2.005E+11,72,0,0,0,52706
2.003E+11,73,0,0,0,4619
2.002E+11,74,0,0,0,421231
2.002E+11,75,0,0,0,781361
2.002E+11,76,0,0,0,20786
2.001E+11,77,254711,0,0,0
2.001E+11,78,199974,0,0,0
2.001E+11,79,115107,0,0,0
2.001E+11,80,43504,0,0,0
2.001E+11,81,55640,0,0,0
2.001E+11,82,197843,0,0,0
2.001E+11,83,21104,0,0,0
2.001E+11,84,602310,0,0,0
2.001E+11,85,155646,0,0,0
2.001E+11,86,41627,0,0,0
2.001E+11,87,237840,0,0,0
2.001E+11,88,948769,0,0,0
2.001E+11,89,206327,0,0,0
2.007E+11,90,0,0,29226,0
2.007E+11,91,0,0,1115927,0
2.007E+11,92,0,0,606622,0
2.005E+11,93,0,0,0,38931
2.003E+11,94,0,0,0,45
2.002E+11,95,0,0,0,526356
2.002E+11,96,0,0,0,49074
2.001E+11,97,225687,0,0,0
2.001E+11,98,1339086,0,0,0
2.001E+11,99,200096,0,0,0
2.001E+11,100,732201,0,0,0
2.001E+11,101,99003,0,0,0
2.002E+11,102,0,0,0,50111
2.002E+11,103,0,0,0,30156
2.001E+11,104,263280,0,0,0
2.001E+11,105,55853,0,0,0
2.001E+11,106,172591,0,0,0
2.001E+11,107,189185,0,0,0
2.001E+11,108,358853,0,0,0
2.007E+11,109,0,0,16351,0
2.007E+11,110,0,0,142720,0
2.007E+11,111,0,0,254374,0
2.006E+11,112,0,56704,0,0
2.006E+11,113,0,305964,0,0
2.006E+11,114,0,242762,0,0
2.006E+11,115,0,1716283,0,0
2.006E+11,116,0,4147009,0,0
2.006E+11,117,0,2127160,0,0
2.004E+11,118,0,0,0,88
2.005E+11,119,0,0,0,34005
2.005E+11,120,0,0,0,1643
2.003E+11,121,0,0,0,1961
2.002E+11,122,0,0,0,712704
2.002E+11,123,0,0,0,29030
2.001E+11,124,327494,0,0,0
2.001E+11,125,244397,0,0,0
2.001E+11,126,62069,0,0,0
2.001E+11,127,34510,0,0,0
2.008E+11,128,0,0,41981,0
2.007E+11,129,0,0,222168,0
2.006E+11,130,0,3159930,0,0
2.006E+11,131,0,4493105,0,0
2.006E+11,132,0,3003230,0,0
2.006E+11,133,0,1757208,0,0
2.005E+11,134,0,0,0,46171
2.004E+11,135,0,0,0,3547
2.002E+11,136,0,0,0,135442
2.002E+11,137,0,0,0,821115
2.002E+11,138,0,0,0,46287
2.002E+11,139,0,0,0,24360
2.001E+11,140,776564,0,0,0
2.001E+11,141,540879,0,0,0
2.001E+11,142,79813,0,0,0
2.001E+11,143,35637,0,0,0
2.001E+11,144,44909,0,0,0
2.001E+11,145,401538,0,0,0
2.001E+11,146,2975076,0,0,0
2.001E+11,147,348111,0,0,0
2.001E+11,148,236808,0,0,0
2.001E+11,149,406038,0,0,0
2.001E+11,150,2069931,0,0,0
2.008E+11,151,0,0,36004,0
2.008E+11,152,0,0,4841,0
2.007E+11,153,0,0,109370,0
2.007E+11,154,0,0,26627,0
2.007E+11,155,0,0,408055,0
2.007E+11,156,0,0,328275,0
2.007E+11,157,0,0,202727,0
2.006E+11,158,0,570453,0,0
2.006E+11,159,0,347531,0,0
2.005E+11,160,0,0,0,115240
2.004E+11,161,0,0,0,69248
2.004E+11,162,0,0,0,9046
2.004E+11,163,0,0,0,32022
2.002E+11,164,0,0,0,171604
2.002E+11,165,0,0,0,8245
2.002E+11,166,0,0,0,408002
2.001E+11,167,253926,0,0,0
2.001E+11,168,251697,0,0,0
2.002E+11,169,0,0,0,24274
2.001E+11,170,31588,0,0,0
2.001E+11,171,1016573,0,0,0
2.001E+11,172,70680,0,0,0
2.001E+11,173,401803,0,0,0
