HUC12,zone_id,impervious_pixel_count
2.007E+11,1,0
2.007E+11,2,0
2.007E+11,3,0
2.006E+11,4,0
2.006E+11,5,0
2.006E+11,6,0
2.005E+11,7,120756
2.005E+11,8,115083
2.005E+11,9,0
2.005E+11,10,31161
2.008E+11,11,0
2.007E+11,12,0
2.007E+11,13,0
2.007E+11,14,0
2.007E+11,15,0
2.006E+11,16,0
2.006E+11,17,0
2.006E+11,18,0
2.006E+11,19,0
2.005E+11,20,37
2.002E+11,21,953708
2.002E+11,22,55248
2.003E+11,23,518
2.002E+11,24,195740
2.002E+11,25,377825
2.002E+11,26,513013
2.001E+11,27,0
2.002E+11,28,9452
2.001E+11,29,0
2.001E+11,30,0
2.002E+11,31,76046
2.002E+11,32,70070
2.001E+11,33,0
2.008E+11,34,0
2.006E+11,35,0
2.006E+11,36,0
2.006E+11,37,0
2.005E+11,38,17303
2.005E+11,39,185456
2.004E+11,40,122
2.003E+11,41,21274
2.002E+11,42,2249305
2.002E+11,43,749156
2.002E+11,44,11172
2.002E+11,45,12611
2.002E+11,46,21473
2.001E+11,47,0
2.001E+11,48,0
2.001E+11,49,0
2.001E+11,50,0
2.001E+11,51,0
2.001E+11,52,0
2.001E+11,53,0
2.001E+11,54,0
2.001E+11,55,0
2.001E+11,56,0
2.001E+11,57,0
2.001E+11,58,0
2.001E+11,59,0
2.001E+11,60,0
2.001E+11,61,0
2.006E+11,62,0
2.006E+11,63,0
2.006E+11,64,0
2.006E+11,65,0
2.006E+11,66,0
2.006E+11,67,0
2.006E+11,68,0
2.004E+11,69,81123
2.004E+11,70,222235
2.005E+11,71,212357
2.005E+11,72,52706
2.003E+11,73,4619
2.002E+11,74,421231
2.002E+11,75,781361
2.002E+11,76,20786
2.001E+11,77,0
2.001E+11,78,0
2.001E+11,79,0
2.001E+11,80,0
2.001E+11,81,0
2.001E+11,82,0
2.001E+11,83,0
2.001E+11,84,0
2.001E+11,85,0
2.001E+11,86,0
2.001E+11,87,0
2.001E+11,88,0
2.001E+11,89,0
2.007E+11,90,0
2.007E+11,91,0
2.007E+11,92,0
2.005E+11,93,38931
2.003E+11,94,45
2.002E+11,95,526356
2.002E+11,96,49074
2.001E+11,97,0
2.001E+11,98,0
2.001E+11,99,0
2.001E+11,100,0
2.001E+11,101,0
2.002E+11,102,50111
2.002E+11,103,30156
2.001E+11,104,0
2.001E+11,105,0
2.001E+11,106,0
2.001E+11,107,0
2.001E+11,108,0
2.007E+11,109,0
2.007E+11,110,0
2.007E+11,111,0
2.006E+11,112,0
2.006E+11,113,0
2.006E+11,114,0
2.006E+11,115,0
2.006E+11,116,0
2.006E+11,117,0
2.004E+11,118,88
2.005E+11,119,34005
2.005E+11,120,1643
2.003E+11,121,1961
2.002E+11,122,712704
2.002E+11,123,29030
2.001E+11,124,0
2.001E+11,125,0
2.001E+11,126,0
2.001E+11,127,0
2.008E+11,128,0
2.007E+11,129,0
2.006E+11,130,0
2.006E+11,131,0
2.006E+11,132,0
2.006E+11,133,0
2.005E+11,134,46171
2.004E+11,135,3547
2.002E+11,136,135442
2.002E+11,137,821115
2.002E+11,138,46287
2.002E+11,139,24360
2.001E+11,140,0
2.001E+11,141,0
2.001E+11,142,0
2.001E+11,143,0
2.001E+11,144,0
2.001E+11,145,0
2.001E+11,146,0
2.001E+11,147,0
2.001E+11,148,0
2.001E+11,149,0
2.001E+11,150,0
2.008E+11,151,0
2.008E+11,152,0
2.007E+11,153,0
2.007E+11,154,0
2.007E+11,155,0
2.007E+11,156,0
2.007E+11,157,0
2.006E+11,158,0
2.006E+11,159,0
2.005E+11,160,115240
2.004E+11,161,69248
2.004E+11,162,9046
2.004E+11,163,32022
2.002E+11,164,171604
2.002E+11,165,8245
2.002E+11,166,408002
2.001E+11,167,0
2.001E+11,168,0
2.002E+11,169,24274
2.001E+11,170,0
2.001E+11,171,0
2.001E+11,172,0
2.001E+11,173,0
