zone_id,pixel_count_masked_ccap2011_rast10.TIF,pixel_count_masked_ccap2011_rast11.TIF,pixel_count_masked_ccap2011_rast12.TIF,pixel_count_masked_ccap2011_rast13.TIF,pixel_count_masked_ccap2011_rast3.TIF,pixel_count_masked_ccap2011_rast7.TIF,pixel_count_masked_ccap2011_rast9.TIF
1,0,0,150627,0,0,0,0
2,0,0,322537,0,0,0,0
3,0,0,4900,0,0,0,0
4,0,0,0,228305,0,0,0
5,0,0,0,0,0,0,3407713
6,0,0,0,477686,0,0,0
7,120631,0,0,0,0,0,0
8,116256,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,39290,0,0,0,0,0,0
11,0,0,52667,0,0,0,0
12,0,0,515430,0,0,0,0
13,0,0,95986,0,0,0,0
14,0,0,427961,0,0,0,0
15,0,0,505430,0,0,0,0
16,0,0,0,687523,0,0,413373
17,0,0,0,8668,0,0,850501
18,0,0,0,329053,0,0,0
19,0,0,0,431314,0,0,1704330
20,0,0,0,0,0,0,0
21,883345,0,0,0,0,0,0
22,31153,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,144759,0,0,0,0,0,0
25,352753,0,0,0,0,0,0
26,508702,0,0,0,0,0,0
27,0,0,0,0,78766,322324,0
28,0,32331,0,0,0,0,0
29,0,0,0,0,760432,195808,0
30,0,0,0,0,0,17714,0
31,0,85277,0,0,0,0,0
32,89469,0,0,0,0,0,0
33,0,0,0,0,0,121236,0
34,0,0,25691,0,0,0,0
35,0,0,0,410078,0,0,646413
36,0,0,0,230974,0,0,0
37,0,0,0,0,0,0,1161158
38,27572,0,0,0,0,0,0
39,165370,0,0,0,0,0,0
40,4240,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,2117916,0,0,0,0,0,0
43,756729,0,0,0,0,0,0
44,13371,0,0,0,0,0,0
45,17307,0,0,0,0,0,0
46,11346,1462,0,0,0,0,0
47,0,0,0,0,27072,0,0
48,0,0,0,0,0,64561,0
49,0,0,0,0,0,586999,0
50,0,0,0,0,2253,0,0
51,0,0,0,0,113975,0,0
52,0,0,0,0,0,183196,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,80002,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,334845,0
57,0,0,0,0,0,116390,0
58,0,0,0,0,0,2475,0
59,0,0,0,0,0,103017,0
60,0,0,0,0,17968,0,0
61,0,0,0,0,38457,0,0
62,0,0,0,0,0,0,179389
63,0,0,0,0,0,0,864097
64,0,0,0,267125,0,0,0
65,0,0,0,0,0,0,3111514
66,0,0,0,29948,0,0,0
67,0,0,0,109706,0,0,0
68,0,0,0,0,0,0,654777
69,93074,0,0,0,0,0,0
70,243632,0,0,0,0,0,0
71,200130,0,0,0,0,0,0
72,53939,0,0,0,0,0,0
73,0,0,0,0,0,0,0
74,359608,0,0,0,0,0,0
75,874522,0,0,0,0,0,0
76,16207,0,0,0,0,0,0
77,0,0,0,0,199816,0,0
78,0,0,0,0,0,165232,0
79,0,0,0,0,0,82872,0
80,0,0,0,0,10979,0,0
81,0,0,0,0,25264,0,0
82,0,0,0,0,129385,0,0
83,0,0,0,0,8597,0,0
84,0,0,0,0,0,543874,0
85,0,0,0,0,0,94870,0
86,0,0,0,0,0,28238,0
87,0,0,0,0,0,187139,0
88,0,0,0,0,769965,2818,0
