zone_id,pixel_count_Final_2011_HI_clipped.tif,pixel_count_Final_2011_Kauai_clipped.tif,pixel_count_Final_2011_Oahu_clipped.tif
1,0,150627,0
2,0,322537,0
3,0,4900,0
4,0,0,228305
5,0,0,3407713
6,0,0,477686
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,52667,0
12,0,515430,0
13,0,95986,0
14,0,427961,0
15,0,505430,0
16,0,0,1100896
17,0,0,859169
18,0,0,329053
19,0,0,2135644
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,401090,0,0
28,0,0,0
29,956240,0,0
30,17714,0,0
31,0,0,0
32,0,0,0
33,121236,0,0
34,0,25691,0
35,0,0,1056491
36,0,0,230974
37,0,0,1161158
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,27072,0,0
48,64561,0,0
49,586999,0,0
50,2253,0,0
51,113975,0,0
52,183196,0,0
53,0,0,0
54,80002,0,0
55,0,0,0
56,334845,0,0
57,116390,0,0
58,2475,0,0
59,103017,0,0
60,17968,0,0
61,38457,0,0
62,0,0,179389
63,0,0,864097
64,0,0,267125
65,0,0,3111514
66,0,0,29948
67,0,0,109706
68,0,0,654777
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,199816,0,0
78,165232,0,0
79,82872,0,0
80,10979,0,0
81,25264,0,0
82,129385,0,0
83,8597,0,0
84,543874,0,0
85,94870,0,0
86,28238,0,0
87,187139,0,0
88,772783,0,0
89,105703,0,0
90,0,44195,0
91,0,1074251,0
92,0,634379,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,156361,0,0
98,1211986,0,0
99,118671,0,0
100,719323,0,0
101,85245,0,0
102,0,0,0
103,0,0,0
104,214231,0,0
105,39571,0,0
106,124690,0,0
107,172450,0,0
108,303351,0,0
109,0,25327,0
110,0,152172,0
111,0,283360,0
112,0,0,38961
113,0,0,298909
114,0,0,206941
115,0,0,1590720
116,0,0,4111799
117,0,0,2107711
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,183673,0,0
125,227562,0,0
126,55949,0,0
127,32833,0,0
128,0,59827,0
129,0,193198,0
130,0,0,3113083
131,0,0,4327644
132,0,0,2730702
133,0,0,1744946
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,754633,0,0
141,519460,0,0
142,50288,0,0
143,25773,0,0
144,8100,0,0
145,345119,0,0
146,2880458,0,0
147,225129,0,0
148,179482,0,0
149,379682,0,0
150,2037063,0,0
151,0,49492,0
152,0,5917,0
153,0,57947,0
154,0,25658,0
155,0,380092,0
156,0,356090,0
157,0,210129,0
158,0,0,558714
159,0,0,322452
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,153211,0,0
168,245017,0,0
169,0,0,0
170,10002,0,0
171,958108,0,0
172,50036,0,0
173,319614,0,0
