zone_id,pixel_count_masked_utm4_hi_north_20171.tif,pixel_count_masked_utm4_hi_north_20172.tif,pixel_count_masked_utm4_hi_north_20173.tif,pixel_count_masked_utm4_hi_north_20174.tif,pixel_count_masked_utm4_hi_north_20175.tif,pixel_count_masked_utm4_hi_north_20176_clip2.tif,pixel_count_masked_utm4_hi_south_20171.tif,pixel_count_masked_utm4_hi_south_20173.tif,pixel_count_masked_utm4_hi_south_20178.tif,pixel_count_masked_utm4_hi_south_20179.tif
1,0,0,0,681666,0,0,0,0,0,0
2,0,0,0,1444291,0,0,0,0,0,0
3,0,0,0,24062,0,0,0,0,0,0
4,0,0,0,0,1200629,0,0,0,0,0
5,0,16818511,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1901470,0,0,0,0
7,0,520782,0,0,0,0,0,0,0,0
8,0,456760,55214,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,144158,0,0,0,0,0,0,0
11,0,0,0,32818,0,0,0,0,0,0
12,0,0,0,2128047,0,0,0,0,0,0
13,0,0,0,330882,0,0,0,0,0,0
14,0,0,0,1655708,0,0,0,0,0,0
15,0,0,0,2375413,0,0,0,0,0,0
16,511641,0,0,0,5605180,0,0,0,0,0
17,0,4253070,0,0,0,24118,0,0,0,0
18,0,0,0,0,1736178,0,0,0,0,0
19,0,4564012,0,0,0,4997538,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,4382219,0,0,0,0,0,0,0
22,0,0,185910,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
24,0,0,827711,0,0,0,0,0,0,0
25,0,0,1879254,0,0,0,0,0,0,0
26,0,0,2924413,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
28,0,0,62046,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
31,0,0,376813,0,0,0,0,0,0,0
32,0,0,398605,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
34,0,0,0,240,0,0,0,0,0,0
35,0,902443,0,0,0,3972895,0,0,0,0
36,0,0,0,0,0,836419,0,0,0,0
37,0,5653377,0,0,0,0,0,0,0,0
38,0,69524,0,0,0,0,0,0,0,0
39,0,593791,6709,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
42,0,0,11242726,0,0,0,0,0,0,0
43,0,0,3812770,0,0,0,0,0,0,0
44,0,0,41816,0,0,0,0,0,0,0
45,0,0,62900,0,0,0,0,0,0,0
46,0,0,55417,0,0,0,0,0,0,0
47,0,0,0,0,0,0,126024,0,0,0
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,806127,0
53,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,335274,0
60,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,8182,0,0
62,915241,0,0,0,0,16,0,0,0,0
63,3187286,2069028,0,0,0,0,0,0,0,0
64,0,0,0,0,140193,537813,0,0,0,0
65,0,15812140,0,0,0,0,0,0,0,0
66,0,0,0,0,0,70684,0,0,0,0
67,0,0,0,0,0,421250,0,0,0,0
68,0,2832044,0,0,0,0,0,0,0,0
69,0,0,295424,0,0,0,0,0,0,0
70,0,0,1035277,0,0,0,0,0,0,0
71,0,53901,1040383,0,0,0,0,0,0,0
72,0,0,220073,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
74,0,0,2261745,0,0,0,0,0,0,0
75,0,0,3867626,0,0,0,0,0,0,0
76,0,0,57543,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,47605,0,0,0
81,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,282139,0
85,0,0,0,0,0,0,0,0,326108,0
86,0,0,0,0,0,0,0,0,3100,85668
87,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0
90,0,0,0,147957,0,0,0,0,0,0
91,0,0,0,5208403,0,0,0,0,0,0
92,0,0,0,2870698,0,0,0,0,0,0
93,0,0,155715,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0
95,0,0,2825726,0,0,0,0,0,0,0
96,0,0,268426,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0
102,0,0,266808,0,0,0,0,0,0,0
103,0,0,162075,0,0,0,0,0,0,0
104,0,0,0,0,0,0,510927,0,0,0
105,0,0,0,0,0,0,0,0,178609,0
106,0,0,0,0,0,0,0,0,453931,0
107,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,830455
109,0,0,0,94606,0,0,0,0,0,0
110,0,0,0,378565,0,0,0,0,0,0
111,0,0,0,1005732,0,0,0,0,0,0
112,0,0,0,0,164965,0,0,0,0,0
113,0,0,0,0,1487845,0,0,0,0,0
114,0,0,0,0,478508,268265,0,0,0,0
115,0,0,0,0,714938,6701112,0,0,0,0
116,0,15551968,0,0,0,4625231,0,0,0,0
117,0,693199,0,0,0,9397472,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0
119,0,0,147935,0,0,0,0,0,0,0
120,0,0,13954,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0
122,0,0,3508016,0,0,0,0,0,0,0
123,0,0,219586,0,0,0,0,0,0,0
124,0,0,0,0,0,0,584643,0,0,0
125,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,325706,0,0,0
127,0,0,0,0,0,0,0,268666,0,0
128,0,0,0,16064,0,0,0,0,0,0
129,0,0,0,1078730,0,0,0,0,0,0
130,23834,18886385,0,0,0,934,0,0,0,0
131,0,4976301,0,0,14558,16539786,0,0,0,0
132,0,14292471,0,0,0,0,0,0,0,0
133,0,8608771,0,0,0,0,0,0,0,0
134,0,158354,0,0,0,0,0,0,0,0
135,0,0,273,0,0,0,0,0,0,0
136,0,0,765000,0,0,0,0,0,0,0
137,0,0,4388837,0,0,0,0,0,0,0
138,0,0,110451,0,0,0,0,0,0,0
139,0,0,159811,0,0,0,0,0,0,0
140,0,0,0,0,0,0,4414438,0,0,0
141,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,255113,0,0,0
143,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,1530831,0
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,925424,0
148,0,0,0,0,0,0,0,0,630176,187946
149,0,0,0,0,0,0,0,354232,0,0
150,0,0,0,0,0,0,0,0,0,0
151,0,0,0,485,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
153,0,0,0,167062,0,0,0,0,0,0
154,0,0,0,107587,0,0,0,0,0,0
155,0,0,0,1679543,0,0,0,0,0,0
156,0,0,0,1608174,0,0,0,0,0,0
157,0,0,0,779606,0,0,0,0,0,0
158,0,0,0,0,0,2456801,0,0,0,0
159,0,0,0,0,0,1258540,0,0,0,0
160,0,261749,66320,0,0,0,0,0,0,0
161,0,0,371827,0,0,0,0,0,0,0
162,0,0,22465,0,0,0,0,0,0,0
163,0,0,45570,0,0,0,0,0,0,0
164,0,0,927524,0,0,0,0,0,0,0
165,0,0,69370,0,0,0,0,0,0,0
166,0,0,2239663,0,0,0,0,0,0,0
167,0,0,0,0,0,0,726801,0,0,0
168,0,0,0,0,0,0,0,0,0,0
169,0,0,138987,0,0,0,0,0,0,0
170,0,0,0,0,0,0,36822,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,21255,265506
173,0,0,0,0,0,0,0,0,0,0
