zone_id,pixel_count_masked_utm4_hi_north_20171.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20172.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20173.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20174.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20175.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20176_clip2.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20171.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20172.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20173.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20174.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20175.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20176.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20177.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20178.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20179.tif_3x3.tif
1,0,0,0,118252,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,250702,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,4199,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,208429,0,0,0,0,0,0,0,0,0,0
5,0,2919936,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,329955,0,0,0,0,0,0,0,0,0
7,0,90449,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,79403,9559,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,25003,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,5696,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,369685,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,57403,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,287415,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,412662,0,0,0,0,0,0,0,0,0,0,0
16,88772,0,0,0,973691,0,0,0,0,0,0,0,0,0,0
