zone_id,pixel_count_masked_utm4_hi_hawaii_2021_ccap_0.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_1.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_2.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_4.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_5.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_6.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_7.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_8.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_0.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_1.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_2.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_0.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_1.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_2.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_0.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_3.tif
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790584,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186312,0,295069,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24477,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1123277,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,17263396,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,295804,1678269,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,42537,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,114609,1572838,313720,146702,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263118,0,94320,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083803,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3145351,0,0,0,0
16,0,0,0,0,0,0,0,0,0,5434800,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,4651366,11301,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1590959,0,2022,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,9406226,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207925
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367890,0
27,0,0,0,3861,1751194,0,619517,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,6140146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,66527,0,0,47832,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362144
