zone_id,pixel_count_imperv2021_no0s_EMauiNui_clipped.tif,pixel_count_imperv2021_no0s_Kauai_clipped.tif,pixel_count_imperv2021_no0s_NorthHI_clipped.tif,pixel_count_imperv2021_no0s_NorthOahu_clipped.tif,pixel_count_imperv2021_no0s_SouthHI_clipped.tif,pixel_count_imperv2021_no0s_SouthOahu_clipped.tif,pixel_count_imperv2021_no0s_WMauiNui_clipped.tif
1,0,145386,0,0,0,0,0
2,0,291436,0,0,0,0,0
3,0,1952,0,0,0,0,0
4,0,0,0,211404,0,0,0
5,0,0,0,0,0,3069297,0
6,0,0,0,379166,0,0,0
7,0,0,0,0,0,0,119254
8,0,0,0,0,0,0,108794
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,25983
11,0,24414,0,0,0,0,0
12,0,434645,0,0,0,0,0
13,0,68539,0,0,0,0,0
14,0,420878,0,0,0,0,0
15,0,626597,0,0,0,0,0
16,0,0,0,638499,0,404929,0
17,0,0,0,4788,0,888025,0
18,0,0,0,302632,0,0,0
19,0,0,0,374303,0,1398954,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,860875
22,0,0,0,0,0,0,31769
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,151895
25,0,0,0,0,0,0,344999
26,0,0,0,0,0,0,510227
27,0,0,440270,0,323665,0,0
28,9250,0,0,0,0,0,0
29,0,0,1116641,0,1152330,0,0
30,0,0,22565,0,0,0,0
31,73529,0,0,0,0,0,0
32,0,0,0,0,0,0,66056
33,0,0,138200,0,0,0,0
34,0,14784,0,0,0,0,0
35,0,0,0,331051,0,568955,0
36,0,0,0,164982,0,0,0
37,0,0,0,0,0,1032941,0
38,0,0,0,0,0,0,13862
39,0,0,0,0,0,0,176660
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,2248457
43,0,0,0,0,0,0,737992
44,0,0,0,0,0,0,8316
45,0,0,0,0,0,0,12176
46,855,0,0,0,0,0,11381
47,0,0,0,0,26382,0,0
48,0,0,60730,0,0,0,0
49,0,0,671640,0,0,0,0
50,0,0,0,0,3546,0,0
51,0,0,0,0,115859,0,0
52,0,0,190565,0,0,0,0
53,0,0,3328,0,0,0,0
54,0,0,69970,0,0,0,0
55,0,0,15,0,0,0,0
56,0,0,344631,0,0,0,0
57,0,0,115400,0,0,0,0
58,0,0,2592,0,0,0,0
59,0,0,78744,0,0,0,0
60,0,0,0,0,11230,0,0
61,0,0,0,0,30477,0,0
62,0,0,0,0,0,173501,0
63,0,0,0,0,0,834600,0
64,0,0,0,151991,0,0,0
65,0,0,0,0,0,2888499,0
66,0,0,0,13091,0,0,0
67,0,0,0,89349,0,0,0
68,0,0,0,0,0,507916,0
69,0,0,0,0,0,0,68809
70,0,0,0,0,0,0,212313
71,0,0,0,0,0,0,212186
72,0,0,0,0,0,0,51499
73,0,0,0,0,0,0,0
74,0,0,0,0,0,0,416432
75,0,0,0,0,0,0,743818
76,0,0,0,0,0,0,10328
77,0,0,0,0,210621,0,0
78,0,0,210562,0,14838,0,0
79,0,0,93208,0,0,0,0
80,0,0,0,0,10975,0,0
81,0,0,0,0,29048,0,0
82,0,0,0,0,161218,0,0
83,0,0,0,0,14600,0,0
84,0,0,627010,0,0,0,0
85,0,0,81261,0,0,0,0
86,0,0,20877,0,0,0,0
87,0,0,180485,0,0,0,0
88,0,0,17951,0,1000127,0,0
89,0,0,139382,0,0,0,0
90,0,28065,0,0,0,0,0
