zone_id,pixel_count_Final_2021_HI_clipped.tif,pixel_count_Final_2021_Kauai_clipped.tif,pixel_count_Final_2021_MauiNui_clipped.tif,pixel_count_Final_2021_Oahu_clipped.tif
1,0,145386,0,0
2,0,291436,0,0
3,0,1952,0,0
4,0,0,0,211404
5,0,0,0,3069297
6,0,0,0,379166
7,0,0,119254,0
8,0,0,108766,0
9,0,0,0,0
10,0,0,25983,0
11,0,24414,0,0
12,0,434645,0,0
13,0,68539,0,0
14,0,420878,0,0
15,0,626597,0,0
16,0,0,0,1042707
17,0,0,0,892787
18,0,0,0,302639
19,0,0,0,1772753
20,0,0,0,0
21,0,0,860948,0
22,0,0,31758,0
23,0,0,0,0
24,0,0,151904,0
25,0,0,345057,0
26,0,0,510232,0
27,457043,0,0,0
28,0,0,9250,0
29,1152330,0,0,0
30,22559,0,0,0
31,0,0,73578,0
32,0,0,66060,0
33,138200,0,0,0
34,0,14784,0,0
35,0,0,0,899714
36,0,0,0,164824
37,0,0,0,1032941
38,0,0,13862,0
39,0,0,176658,0
40,0,0,0,0
41,0,0,0,0
42,0,0,2249056,0
43,0,0,737909,0
44,0,0,8316,0
45,0,0,12176,0
46,0,0,12230,0
47,26382,0,0,0
48,60730,0,0,0
49,671549,0,0,0
50,3546,0,0,0
51,115793,0,0,0
52,190573,0,0,0
53,3368,0,0,0
54,69970,0,0,0
55,15,0,0,0
56,344633,0,0,0
57,115400,0,0,0
58,2592,0,0,0
59,78744,0,0,0
60,11230,0,0,0
61,30477,0,0,0
62,0,0,0,173501
63,0,0,0,834600
64,0,0,0,152040
65,0,0,0,2888499
66,0,0,0,13091
67,0,0,0,89334
68,0,0,0,507916
69,0,0,68841,0
70,0,0,212314,0
71,0,0,212186,0
72,0,0,51499,0
73,0,0,0,0
74,0,0,416482,0
75,0,0,743806,0
76,0,0,10328,0
77,210621,0,0,0
78,210559,0,0,0
79,93187,0,0,0
80,10975,0,0,0
81,29048,0,0,0
82,161215,0,0,0
83,14600,0,0,0
84,627003,0,0,0
85,81196,0,0,0
86,20880,0,0,0
87,180474,0,0,0
88,1000115,0,0,0
89,139330,0,0,0
90,0,28065,0,0
91,0,1047529,0,0
92,0,598787,0,0
93,0,0,31107,0
94,0,0,0,0
95,0,0,509795,0
96,0,0,48584,0
97,163728,0,0,0
98,1352726,0,0,0
99,160784,0,0,0
100,769901,0,0,0
101,93397,0,0,0
102,0,0,49498,0
103,0,0,28931,0
104,241293,0,0,0
105,46700,0,0,0
106,101655,0,0,0
107,170155,0,0,0
108,308110,0,0,0
109,0,16334,0,0
110,0,91186,0,0
111,0,227989,0,0
112,0,0,0,27867
113,0,0,0,267519
114,0,0,0,152011
115,0,0,0,1438569
116,0,0,0,3697966
117,0,0,0,1887032
118,0,0,0,0
119,0,0,34005,0
120,0,0,1643,0
121,0,0,0,0
122,0,0,694931,0
123,0,0,28995,0
124,176696,0,0,0
125,276949,0,0,0
126,76481,0,0,0
127,56835,0,0,0
128,0,41981,0,0
129,0,219442,0,0
130,0,0,0,3377773
131,0,0,0,4147529
132,0,0,0,2536045
133,0,0,0,1610687
134,0,0,36649,0
135,0,0,13,0
136,0,0,135169,0
137,0,0,793679,0
138,0,0,21201,0
139,0,0,24308,0
140,968121,0,0,0
141,640769,0,0,0
142,49516,0,0,0
143,30501,0,0,0
144,15360,0,0,0
145,321554,0,0,0
146,3444303,0,0,0
147,184216,0,0,0
148,190253,0,0,0
149,296263,0,0,0
150,2434973,0,0,0
151,0,36004,0,0
152,0,4841,0,0
153,0,32379,0,0
154,0,9608,0,0
155,0,360916,0,0
156,0,322955,0,0
157,0,186224,0,0
158,0,0,0,494185
159,0,0,0,246149
160,0,0,111162,0
161,0,0,68807,0
162,0,0,6696,0
163,0,0,12336,0
164,0,0,170441,0
165,0,0,8241,0
166,0,0,400268,0
167,155834,0,0,0
168,270038,0,0,0
169,0,0,20574,0
170,7861,0,0,0
171,952886,0,0,0
172,53385,0,0,0
173,357663,0,0,0
