zone_id,pixel_count_Final_v3_Mosaic_2021_HI_clipped.tif,pixel_count_Final_v3_Mosaic_2021_Kauai_clipped.tif,pixel_count_Final_v3_Mosaic_2021_Oahu_clipped.tif
1,0,148327,0
2,0,309218,0
3,0,1952,0
4,0,0,281411
5,0,0,3069312
6,0,0,404492
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,24414,0
12,0,513316,0
13,0,76426,0
14,0,457907,0
15,0,669646,0
16,0,0,1043641
17,0,0,1009006
18,0,0,309064
19,0,0,1773890
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,696004,0,0
28,0,0,0
29,1359404,0,0
30,43265,0,0
31,0,0,0
32,0,0,0
33,161610,0,0
34,0,14784,0
35,0,0,910654
36,0,0,164921
37,0,0,1033391
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,66798,0,0
48,70116,0,0
49,781805,0,0
50,8126,0,0
51,136857,0,0
52,199605,0,0
53,3385,0,0
54,86664,0,0
55,15,0,0
56,365923,0,0
57,121332,0,0
58,4756,0,0
59,96689,0,0
60,11231,0,0
61,33989,0,0
62,0,0,173673
63,0,0,862715
64,0,0,164765
65,0,0,2895011
66,0,0,17037
67,0,0,93434
68,0,0,516458
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,233124,0,0
78,259524,0,0
79,111439,0,0
80,20251,0,0
81,46897,0,0
82,173037,0,0
83,15053,0,0
84,672471,0,0
85,96448,0,0
86,22775,0,0
87,203670,0,0
88,1109237,0,0
89,222957,0,0
90,0,29226,0
91,0,1115927,0
92,0,606622,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,183929,0,0
98,1465632,0,0
99,293990,0,0
100,779314,0,0
101,97891,0,0
102,0,0,0
103,0,0,0
104,258491,0,0
105,57066,0,0
106,108627,0,0
107,180514,0,0
108,346751,0,0
109,0,16351,0
110,0,142720,0
111,0,254374,0
112,0,0,38011
113,0,0,268138
114,0,0,156592
115,0,0,1499934
116,0,0,3703187
117,0,0,1898361
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,221166,0,0
125,284332,0,0
126,78975,0,0
127,59144,0,0
128,0,41981,0
129,0,222168,0
130,0,0,3420209
131,0,0,4251827
132,0,0,2790637
133,0,0,1615300
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,1000276,0,0
141,670997,0,0
142,60361,0,0
143,35659,0,0
144,33667,0,0
145,359215,0,0
146,3559028,0,0
147,240975,0,0
148,230261,0,0
149,327813,0,0
150,2458240,0,0
151,0,36004,0
152,0,4841,0
153,0,109370,0
154,0,26627,0
155,0,408055,0
156,0,328275,0
157,0,202727,0
158,0,0,498230
159,0,0,249247
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,210560,0,0
168,272234,0,0
169,0,0,0
170,8189,0,0
171,984385,0,0
172,59255,0,0
173,482306,0,0
