zone_id,pixel_count_masked_utm4_hi_hawaii_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_4.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_5.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_6.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_7.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_8.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_3.tif_3x3.tif
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137247,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206020,0,51017,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4248,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,194936,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,2997503,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,51445,291572,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110755,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113835,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24185,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,7364,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,19914,273103,54657,25444,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45805,0,16414,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362029,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546680,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,943576,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,807272,1961,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,276374,0,345,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,1633811,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800555,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30116,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147911,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297259,36181
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237122,36,263207,0
27,0,0,0,667,303813,0,107704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18706,0,0
29,0,0,0,1065589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,11521,0,0,8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75225,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63039
33,0,0,0,0,0,0,127187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,515346,323707,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,152269,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,946009,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10727,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158749,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878858,0,233731
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707440,0,4069
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7075,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13378,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8079,0,0
